"id","date","time","long","lat","depth","mag","src"
"4104","1997-09-29","23:21:27","-81.28","-1.41","4.86","3.6","IGEPN"
"4095","1997-10-24","10:33:33","-80.47","-0.15","13.9","3.6","IGEPN"
"4083","1997-11-11","05:15:03","-80.97","-1.48","7","4.4","IGEPN"
"4082","1997-11-11","11:54:56","-80.08","0.09","12.5","3.9","IGEPN"
"4078","1997-11-17","08:31:11","-80.45","-1.21","34","3.8","IGEPN"
"4065","1997-12-08","03:20:39","-79.92","0.24","25.9","4.1","IGEPN"
"4057","1997-12-19","16:41:35","-81.25","-1.11","4.27","4.2","IGEPN"
"4056","1997-12-21","23:13:09","-81.25","-1.11","21.41","3.6","IGEPN"
"4049","1998-01-08","00:22:27","-80.14","0.63","5","3.6","IGEPN"
"4041","1998-02-02","23:16:11","-81.31","-1.55","35","3.8","IGEPN"
"4012","1998-04-05","02:44:42","-80.91","-1.04","12","3.7","IGEPN"
"4011","1998-04-05","03:14:27","-81.1","-1.01","12","3.7","IGEPN"
"4009","1998-04-05","15:33:32","-80.61","-0.93","12","3.7","IGEPN"
"4003","1998-04-18","00:16:24","-80.82","-0.91","33","3.7","ISC"
"4001","1998-04-21","04:08:19","-81.16","-0.84","12","4.2","IGEPN"
"3992","1998-05-10","03:52:34","-80.49","-1.43","12","3.7","IGEPN"
"3986","1998-05-21","18:30:16","-80.93","-0.87","3.8","3.8","IGEPN"
"3985","1998-05-24","17:48:03","-80.87","-0.87","3","4","IGEPN"
"3983","1998-05-25","06:31:52","-80.85","-0.8","1.4","3.8","IGEPN"
"3981","1998-05-26","00:15:12","-80.6","-0.87","3.8","3.6","IGEPN"
"3979","1998-05-26","18:29:03","-80.85","-0.85","8.3","4.3","ISC"
"3978","1998-05-28","15:43:33","-80.85","-0.98","3.4","3.9","IGEPN"
"3977","1998-05-28","16:27:01","-80.85","-0.99","2.8","3.6","IGEPN"
"3975","1998-05-29","10:56:19","-81.12","-0.95","19.99","3.6","IGEPN"
"3974","1998-05-30","18:43:07","-80.9","-0.9","2.7","3.6","IGEPN"
"3973","1998-05-30","19:39:26","-80.87","-0.88","25.86","4","IGEPN"
"3971","1998-06-03","16:19:40","-80.88","-0.77","4","3.9","IGEPN"
"3968","1998-06-09","19:23:44","-81.11","-0.6","17.28","3.7","IGEPN"
"3967","1998-06-10","01:24:09","-80.88","-1.31","5.2","3.7","IGEPN"
"3965","1998-06-13","01:12:36","-81.03","-1.42","13.3","4.1","IGEPN"
"3964","1998-06-13","02:49:49","-81.31","-1.62","14.51","3.8","IGEPN"
"3963","1998-06-14","06:27:22","-81.06","-1.37","9.6","3.7","IGEPN"
"3962","1998-06-19","02:11:40","-81.14","-1.39","8.8","3.9","IGEPN"
"3959","1998-06-22","08:56:17","-81.33","-1.6","25","3.6","IGEPN"
"3958","1998-06-26","22:44:16","-81.01","-1.47","1.2","3.6","IGEPN"
"3957","1998-06-27","15:32:09","-80.94","-1.33","3.8","3.6","IGEPN"
"3956","1998-06-27","20:38:36","-80.85","-1.27","6","3.8","IGEPN"
"3955","1998-06-29","02:33:07","-80.92","-1.36","9.8","4.1","IGEPN"
"3954","1998-06-29","02:41:00","-80.9","-1.51","3.4","3.6","IGEPN"
"3953","1998-06-29","05:22:53","-80.98","-1.34","8.4","4.1","IGEPN"
"3952","1998-06-29","16:12:00","-80.83","-1.35","9.9","3.6","IGEPN"
"3950","1998-06-30","01:23:35","-80.05","0.6","19.3","3.8","IGEPN"
"3949","1998-06-30","17:59:17","-80.89","-1.27","6.7","3.8","IGEPN"
"3948","1998-06-30","20:16:22","-80.88","-1.47","1.5","3.7","IGEPN"
"3947","1998-07-01","00:50:41","-80.98","-1.5","3.9","3.7","IGEPN"
"3946","1998-07-01","01:49:30","-80.81","-1.17","11.7","3.6","IGEPN"
"3945","1998-07-01","06:44:45","-81.2","-1.13","9.35","3.7","IGEPN"
"3944","1998-07-01","09:53:40","-80.84","-1.11","9.6","3.7","IGEPN"
"3943","1998-07-01","09:57:14","-81","-0.98","21.94","5.1","IGEPN"
"3942","1998-07-01","15:46:03","-80.94","-1.18","7.2","3.8","IGEPN"
"3941","1998-07-01","16:05:19","-80.88","-1.13","7.6","3.9","IGEPN"
"3940","1998-07-01","16:09:32","-80.87","-1.08","5.3","3.6","IGEPN"
"3939","1998-07-02","03:20:06","-80.85","-1.21","10.2","3.9","IGEPN"
"3938","1998-07-02","03:58:26","-80.81","-1.36","10.7","3.7","IGEPN"
"3937","1998-07-02","09:57:47","-80.94","-1.29","6.4","4","IGEPN"
"3936","1998-07-02","10:49:40","-80.77","-1.1","3.2","3.9","IGEPN"
"3935","1998-07-02","12:24:42","-80.83","-1.37","6.2","3.8","IGEPN"
"3934","1998-07-02","23:42:55","-81.03","-1.26","20.36","3.9","IGEPN"
"3933","1998-07-03","01:00:33","-80.85","-1.03","7.4","3.6","IGEPN"
"3932","1998-07-03","01:35:52","-80.92","-1.02","3.1","3.6","IGEPN"
"3930","1998-07-03","04:49:46","-80.85","-1.23","5.5","3.7","IGEPN"
"3929","1998-07-03","06:41:24","-80.94","-1.25","3","3.8","IGEPN"
"3927","1998-07-03","15:45:15","-80.9","-1.42","3.4","3.8","IGEPN"
"3926","1998-07-04","01:32:31","-80.9","-1.37","4.1","3.7","IGEPN"
"3925","1998-07-04","03:41:21","-80.99","-1.08","8.7","3.9","IGEPN"
"3924","1998-07-05","01:53:12","-80.87","-1.1","6.3","3.7","IGEPN"
"3923","1998-07-06","03:59:56","-80.72","-1.42","62.3","4.2","ISC"
"3922","1998-07-06","04:31:27","-80.97","-1.54","5.7","4.3","ISC"
"3921","1998-07-06","05:34:00","-80.67","-1.02","14","4","IGEPN"
"3920","1998-07-08","08:39:19","-80.97","-1.39","2.3","3.6","IGEPN"
